"Algorithm","Hash","Path"
"SHA256","B75FBB58C511D4BDDD605ED438AF357708534B54BA404593454F0A20D580C85D","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\client.lua"
"SHA256","3E9E2DEFBD19D2B478860A3D0C2675BD9F280B3A6B7479A28598C6202B5686CF","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\config.lua"
"SHA256","C87B7D25011699231E822D3DE4ED34C0540FAB24F6312EB7CC0350FCB325CBAD","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\fxmanifest.lua"
"SHA256","A595B76377A89A70AE8F80DB71C45B5E49864CEBDEF75532DE5E565D7B70E00D","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\server_utils.lua"
"SHA256","CDD9CA9634E59397D89E2A1F7A293660992DD9E4E7F08B38B008DE9A7C17D702","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\server.lua"
"SHA256","2DC67FC080D8EE125500B321C4164491B7B4C3DF64964398F6E4CAEC74ECCB82","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\lang\br.lua"
"SHA256","28069A64A7A0925E6116315A077A4DA433CC08C1B07864BE0138D38654FE11F2","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\lang\de.lua"
"SHA256","00840B28AD8410F52131A361E45F1749B24BBE8677BF100582F49FCC0FF28D55","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\lang\en.lua"
"SHA256","19EB6C8BA3E9AC2C96C73CBA80BA37986FA265D0A34C70227B4C6AD67640F265","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\panel.js"
"SHA256","CA7C9B3424DE77FB2C80D958C5B08B54AC679988FC0285901442D7F67D137B23","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\ui.html"
"SHA256","0DBB2B9334667B91F9C05F7FDD304850299010DC49D4ABAD1B9417C2804607EB","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\css\bootstrap-night.css"
"SHA256","81A9AE208242D30EC2780EEAE048603BD9CF785F63BA8E3C609A9196DE5CA8DF","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\css\dark-style.css"
"SHA256","8CEE6C58432F25C918D4B261DC076C5B5EAFE2BEC921E9F4DAD8ACB6ED6BF3C6","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\css\light-style.css"
"SHA256","8FF2C10FDB8D5BFB3E8E55419B06FE15E4E864260CC77E452E03D34F776C1F8A","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\css\style.css"
"SHA256","CEEF8F7C58F91A42916905DEBAD0CAA3134FA278D99BE7380DBE7C3F658AFB11","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\cash.png"
"SHA256","F9576C20F6D4137C860DFEFCB846A8957CFBF5B25829FEAE029FFA78A01E8ACB","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\credit_card.png"
"SHA256","16CD7C1E428478B0E5C0C0CCA95D6567BFD0E54BD3E979AF2F758D250459A960","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\man.png"
"SHA256","A37E45C88542799A8B1E74FA8F1EC2C5BD53B3EA19E70844B0950621DEA73316","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\alcohol-icon.png"
"SHA256","BA47E92F82E2CBA6EBF22270EAADDF1B7F35CE9E644C83294B8CF3DC96CF05A6","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\alcohol.png"
"SHA256","CC1ABF8ADAE4422C5CD7C87E70159EEDFEA7F69412A4DCA6CD37708E34F900A1","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\drinks-icon.png"
"SHA256","93F37CAF6F58A4C9F418FC24FFF5379EA7EBAAFD433ED107A18CEF44DE98DFD2","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\drinks.png"
"SHA256","08B0F0823F0875741A8C0394D89E1B4FAB77CE635A601AEAB2E7DDC049FC0511","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\electronics-icon.png"
"SHA256","1494E29186441AB366ADE3B6F5DF0E9347AFFCA6613098C8B9B9017CB7E6836E","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\electronics.png"
"SHA256","4FC2E932D38A8C0EA330DAC7E5E3F3C6C59EF26C79D25C49AF3375AE30904EA9","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\food-icon.png"
"SHA256","92093F34271BDE7B65DE26DF9E240ED476244331A56E3866B76E4675FB9FDC8A","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\food.png"
"SHA256","7752AD3E65540EE3E36D9367D34461CACDD6C9F66008AAAA041E0C6EF0F1A16E","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\utilities-icon.png"
"SHA256","3A9A1D11E0CC3F7C6D2DE575A0FA3814076BF3989E986C4F3A82666EF24DB5DF","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\utilities.png"
"SHA256","F70D5E34C5664433E55D0D6512BDDF0A5A6D422890E41E148AB89513D535F4C1","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-ammo-icon.png"
"SHA256","EB165E8A6258769BF92639FE97E4EF461D09BBE6C6BF3C9CEC0379545AEE0C8B","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-ammo.png"
"SHA256","60C3728784B5A89112B601FCE28F3BF002CDF95D45588143B8202A2278ADADE5","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-attachments.png"
"SHA256","9B2D962BE735023509F3B1B7626187610EC436D3BA8874F016E133B21D99B07E","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-melee-icon.png"
"SHA256","625A3F0A4641AA3B8639F402D84B3A6ACA4D102A05AC97465B8C80F072982230","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-melee.png"
"SHA256","E473255BF8F82D1E2D19B5FB3CE10A9A00523714F6CB3517E1B20993FEA7242D","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-other-icon.png"
"SHA256","5AC6344ACAC3786F10902CAA15A8C5B117F9FF51AE017C8DE4F909379693FB94","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-other.png"
"SHA256","D7A28DAEF4B52892069BD471D2D8114A08AC560E465048FA6B332FCBBB93D992","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-pistol-icon.png"
"SHA256","1F849E66DB69406CAD75056D7C02FA4D067C1721E41C63545BCD375A2957DC98","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-pistol.png"
"SHA256","FADC61543AF3510092E20510D9EE21AF07811540CB7B1A4A85730CB3CD0FB3A1","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-rifle-icon.png"
"SHA256","7552076C915F7868DF030D084BC70600F82BEADCE18F063B308C4A10F989BFEC","C:\admirales\script_ver\script_ver\approved\[standalone]\lc_stores\nui\img\categories\weapons-rifle.png"
