"Hash"	"Path"
"F9FBCE426187657AAD8AFAC8432F8483353042E46A80141553C640A857BEF7F9"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\fxmanifest.lua"
"A149FF2FAD0C10D9609220DD59B9D1198914A024620569663C369B0D6346F276"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\items.sql"
"99C9BD923C1DCE01DE90379AB6D6B271291B9F538249A2F44D9186861FF3EE04"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\oxitems.md"
"A05BB512D91B722B7F58DD0A4EA7C3ECE42917D855B8ECF34F8CFF9374C2C47F"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\readme.txt"
"07DC6FA921271A83E933C4A0DAA24CB9E2179E5259A8AD7C854D23977E25D94F"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\client\cl_cow.lua"
"3D35590CBF56928ED3263DF2A6B4AF565A13E1CE509589595960321A58FD82F4"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\client\cl_main.lua"
"6BCD710CD42D8EC9C47D9C08D79CCEC1EB05ECC11B0712C3E31EA7BB254073B5"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\client\cl_melon.lua"
"822DE538BF8729E48B446B18C72A4E1E9971B7D482DD38287E6C88F270C3374B"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\client\cl_pumpkin.lua"
"FF1D07754C25CAEAABD48F60D185808707C0ED826E3AF37CDE845328C8E48B01"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\client\cl_wheat.lua"
"A05BB512D91B722B7F58DD0A4EA7C3ECE42917D855B8ECF34F8CFF9374C2C47F"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\client\readme.txt"
"DEA25C3BA2C401FD9C46B670F6813D1AC2067754B5EE44F0A6D8F5EE32FBD9E8"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\index.html"
"A05BB512D91B722B7F58DD0A4EA7C3ECE42917D855B8ECF34F8CFF9374C2C47F"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\readme.txt"
"2C2C17A0090336DA1A69CEF8E2F96E659471118C6856AD6C8CBF5AC24B9B0A66"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\script.js"
"2B6A7B430C8EDD7532DA1056D720729DDF4C25BE43A71E79AB31E332D97D42FF"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\style.css"
"2DB056ECCDC1DC87238C1081437148CBA21BAE77B584D9DB8018E99ECB79CB49"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\bg.png"
"FEFDD14C1A4F8DA05CA77334EAB5DB18488C33BFD5C464B33EF7F789E39BD215"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\budayalt.png"
"8687718D62EA563D7A51F946BE4DE058C30C3B84253967837568F217B39F079A"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\budayust.png"
"4B541A04D2D2ABAF8BCABC9416E975FABAE7CA07617193DCF0E2BFFB81AC3555"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\buy.png"
"93FA0B1E20EE306BDEF745DCFD05F3E1FCABB68C9996B712A481EC1476B3B4DF"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\churn.png"
"18AF51AE4D87008DF4C656DEBF5C7A187ECA7B5E2FD0EBD9541FF88915F5025C"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\close.png"
"A83ADF31C7FC286BD4056F7E5D391EDF5108382929E940A9F34DBA5DD2DA8139"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\cowpng.png"
"E067FB1E01C45C7A16A14F72AC2F916D6EA9EED59A0D3D5DAD827B4EC8022034"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\cow_alt.png"
"E191428BC04FF59E4A4D5103C9433DD449DCD342B8B6F9E46201A7053284FEED"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\cow_orta.png"
"F4FAABF6CAD56C1B695048F8AF305370425C2D85B275DA86EF978CE9AE6389D6"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\fare.png"
"FFE8E0E6A76436DA472F0317455D1E106AA7DFE0EED65493B36EBEC4DAD547B9"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\gereksiz.png"
"D66BD8691EC98D88F0BC819F41784ECC5074242A5DA4BF0AD8406BC548DD0FD1"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\karpuzalt.png"
"71E76FCFED2761204C09ABC15F008A16D3A1E978679CF7A2A746F676153274F6"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\karpuzgereksiz.png"
"2A735ABC524DFC245B9E9B375ADFF02BA08A922E13255978B7F6A49FBD8FC0A4"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\kiyafet.png"
"BB0A796A8FB80C5BEEFE65F7FE08A20CC6DBAAAA790DE77B9AAE3C349FD0E81F"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\kutucukbuday.png"
"C7A188EDE6FE8D46DC440870AB3C25DCD4699339A266A4A52A7D5F2BBCCA386C"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\kutucukcow.png"
"5DEB983E72F373680A38B24FD29005867836F9FD9629D1280B1F4A78E22D9AC5"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\kutucukkarpuz.png"
"2B6D8E03C0F5AEFEB320100B77B359336CC076F94DC3799C64B5259B8EA33A87"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\kutucukpump.png"
"3866ED641237350F275BE083F8F0F617513E7C383A1685514036DB0E8C6EBE1A"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\melon.png"
"72DCA1D5CA935FDF0D3C252DCE7CE0B51C7CD6E36E21F26804FF3E0865846B56"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\melonseed.png"
"92E8FAE8F12AB02AEE0FA2E926F139EBAA9D2C889D25C2EAC9E61EF7C53D81A8"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\milkbottle.png"
"B535CC3D42B15070AF17C04F2101591DA7B7F3A750A75A691784725C81BF9314"	"C:\admirales\script_ver\script_ver\quarantine\under-review\0r-farming\0r-farming\html\img\pumpalt.png"
